i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90)
42,6.69E-15,0.0452794,0.000130828,0.00274934,0.00648182,0.945359,0.95184,0.00288017,0.0765652,9.23E-06
43,3.34E-15,0.0451883,9.69E-05,0.00225583,0.0064819,0.945977,0.952459,0.00235273,0.0715238,7.98E-06
44,1.67E-15,0.0451141,7.18E-05,0.00185077,0.00648196,0.946481,0.952963,0.00192253,0.0665197,6.89E-06
45,8.32E-16,0.0450536,5.31E-05,0.00151835,0.006482,0.946893,0.953375,0.00157149,0.0616188,5.96E-06
46,4.15E-16,0.0450042,3.93E-05,0.00124557,0.00648204,0.947229,0.953711,0.00128492,0.0568734,5.15E-06
47,2.07E-16,0.0449639,2.91E-05,0.00102175,0.00648207,0.947503,0.953985,0.00105089,0.0523232,4.45E-06
48,1.04E-16,0.044931,2.16E-05,0.000838122,0.00648209,0.947727,0.954209,0.000859694,0.0479968,3.85E-06
49,5.18E-17,0.044904,1.60E-05,0.000687477,0.00648211,0.94791,0.954393,0.000703449,0.0439131,3.33E-06
50,2.59E-17,0.044882,1.18E-05,0.000563896,0.00648212,0.94806,0.954542,0.000575721,0.0400829,2.88E-06
51,1.29E-17,0.044864,8.75E-06,0.000462521,0.00648213,0.948183,0.954665,0.000471276,0.0365102,2.49E-06
52,6.46E-18,0.0448493,6.48E-06,0.000379365,0.00648214,0.948283,0.954765,0.000385847,0.0331939,2.15E-06
53,3.23E-18,0.0448372,4.80E-06,0.000311156,0.00648215,0.948365,0.954847,0.000315954,0.0301284,1.86E-06
54,1.61E-18,0.0448274,3.55E-06,0.000255208,0.00648215,0.948432,0.954914,0.00025876,0.0273054,1.61E-06
55,8.07E-19,0.0448193,2.63E-06,0.000209318,0.00648216,0.948487,0.954969,0.000211948,0.0247141,1.39E-06
56,4.04E-19,0.0448127,1.95E-06,0.000171679,0.00648216,0.948532,0.955014,0.000173626,0.0223423,1.20E-06
57,2.02E-19,0.0448073,1.44E-06,0.000140807,0.00648216,0.948568,0.95505,0.000142248,0.0201768,1.04E-06
58,1.01E-19,0.0448028,1.07E-06,0.000115486,0.00648217,0.948598,0.955081,0.000116553,0.0182042,9.01E-07
59,5.04E-20,0.0447992,7.90E-07,9.47E-05,0.00648217,0.948623,0.955105,9.55E-05,0.0164108,7.79E-07
60,2.52E-20,0.0447962,5.85E-07,7.77E-05,0.00648217,0.948643,0.955126,7.83E-05,0.014783,6.74E-07
61,1.26E-20,0.0447938,4.33E-07,6.37E-05,0.00648217,0.94866,0.955142,6.41E-05,0.013308,5.83E-07
62,6.30E-21,0.0447918,3.20E-07,5.23E-05,0.00648217,0.948673,0.955156,5.26E-05,0.0119731,5.05E-07
63,3.15E-21,0.0447901,2.37E-07,4.29E-05,0.00648217,0.948685,0.955167,4.31E-05,0.0107665,4.37E-07
64,1.58E-21,0.0447888,1.76E-07,3.52E-05,0.00648217,0.948694,0.955176,3.53E-05,0.00967699,3.78E-07
65,7.88E-22,0.0447877,1.30E-07,2.88E-05,0.00648217,0.948701,0.955183,2.90E-05,0.00869416,3.27E-07
66,3.94E-22,0.0447868,9.62E-08,2.36E-05,0.00648217,0.948707,0.955189,2.37E-05,0.0078083,2.83E-07
67,1.97E-22,0.044786,7.12E-08,1.94E-05,0.00648217,0.948712,0.955194,1.95E-05,0.00701042,2.45E-07
68,9.85E-23,0.0447854,5.27E-08,1.59E-05,0.00648217,0.948716,0.955199,1.60E-05,0.00629225,2.12E-07
69,4.92E-23,0.0447849,3.90E-08,1.30E-05,0.00648217,0.94872,0.955202,1.31E-05,0.00564621,1.83E-07
70,2.46E-23,0.0447845,2.89E-08,1.07E-05,0.00648217,0.948723,0.955205,1.07E-05,0.00506535,1.59E-07
71,1.23E-23,0.0447842,2.14E-08,8.77E-06,0.00648217,0.948725,0.955207,8.80E-06,0.00454332,1.37E-07
72,6.15E-24,0.0447839,1.58E-08,7.20E-06,0.00648217,0.948727,0.955209,7.21E-06,0.00407437,1.19E-07
73,3.08E-24,0.0447837,1.17E-08,5.90E-06,0.00648217,0.948728,0.95521,5.91E-06,0.00365323,1.03E-07
74,1.54E-24,0.0447835,8.68E-09,4.84E-06,0.00648217,0.948729,0.955212,4.85E-06,0.00327517,8.90E-08
75,7.69E-25,0.0447834,6.42E-09,3.97E-06,0.00648217,0.94873,0.955213,3.98E-06,0.00293586,7.71E-08
76,3.85E-25,0.0447832,4.76E-09,3.26E-06,0.00648217,0.948731,0.955214,3.26E-06,0.00263141,6.67E-08
77,1.92E-25,0.0447831,3.52E-09,2.67E-06,0.00648217,0.948732,0.955214,2.67E-06,0.0023583,5.77E-08
78,9.61E-26,0.0447831,2.61E-09,2.19E-06,0.00648217,0.948733,0.955215,2.19E-06,0.00211336,5.00E-08
79,4.81E-26,0.044783,1.93E-09,1.80E-06,0.00648217,0.948733,0.955215,1.80E-06,0.00189371,4.32E-08
80,2.40E-26,0.0447829,1.43E-09,1.47E-06,0.00648217,0.948733,0.955216,1.47E-06,0.00169677,3.74E-08
