i,S,V,Ip(e1=e2=0.50),Im(e1=e2=0.50),Rs,Rv,P,I(e1=e2=0.50)
33,3.64E-34,0.612882,0.0160889,0.0897427,0.00234999,0.278936,0.281286,0.105832
34,3.33E-35,0.587517,0.015477,0.0920651,0.0023501,0.30259,0.304941,0.107542
35,3.05E-36,0.562824,0.0147248,0.0935451,0.00235019,0.326555,0.328906,0.10827
36,2.78E-37,0.539024,0.0138578,0.0941561,0.00235025,0.350612,0.352962,0.108014
37,2.54E-38,0.516297,0.0129044,0.093905,0.00235031,0.374544,0.376894,0.106809
38,2.32E-39,0.494783,0.0118945,0.0928297,0.00235035,0.398142,0.400493,0.104724
39,2.13E-40,0.47458,0.010857,0.0909948,0.00235038,0.421218,0.423568,0.101852
40,1.96E-41,0.455743,0.00981866,0.0884856,0.00235041,0.443602,0.445953,0.0983042
41,1.80E-42,0.438293,0.0088026,0.0854014,0.00235043,0.465152,0.467503,0.094204
42,1.67E-43,0.422219,0.0078277,0.0818487,0.00235044,0.485754,0.488104,0.0896764
43,1.55E-44,0.407486,0.00690837,0.0779353,0.00235045,0.50532,0.50767,0.0848437
44,1.44E-45,0.394039,0.00605462,0.0737653,0.00235046,0.52379,0.526141,0.0798199
45,1.35E-46,0.381811,0.00527247,0.069435,0.00235047,0.541131,0.543481,0.0747074
46,1.27E-47,0.370726,0.0045645,0.0650307,0.00235048,0.557328,0.559678,0.0695952
47,1.20E-48,0.360704,0.00393053,0.0606272,0.00235048,0.572388,0.574739,0.0645577
48,1.14E-49,0.351661,0.0033682,0.056287,0.00235049,0.586333,0.588684,0.0596552
49,1.08E-50,0.343517,0.00287364,0.0520608,0.00235049,0.599198,0.601548,0.0549345
50,1.03E-51,0.336194,0.00244194,0.0479881,0.00235049,0.611025,0.613376,0.05043
51,9.93E-53,0.329617,0.00206765,0.0440981,0.00235049,0.621867,0.624218,0.0461658
52,9.56E-54,0.323715,0.00174507,0.0404114,0.00235049,0.631778,0.634129,0.0421564
53,9.24E-55,0.318423,0.00146852,0.0369407,0.0023505,0.640817,0.643167,0.0384092
54,8.96E-56,0.313682,0.00123257,0.0336925,0.0023505,0.649042,0.651393,0.0349251
55,8.71E-57,0.309436,0.00103209,0.0306682,0.0023505,0.656513,0.658863,0.0317003
56,8.49E-58,0.305636,0.000862392,0.027865,0.0023505,0.663286,0.665637,0.0287274
57,8.29E-59,0.302234,0.000719233,0.0252772,0.0023505,0.669419,0.671769,0.0259964
58,8.12E-60,0.299191,0.000598819,0.0228964,0.0023505,0.674963,0.677314,0.0234952
59,7.97E-61,0.296469,0.000497806,0.0207129,0.0023505,0.67997,0.682321,0.0212107
60,7.83E-62,0.294034,0.000413268,0.0187159,0.0023505,0.684487,0.686837,0.0191292
61,7.71E-63,0.291856,0.000342668,0.0168938,0.0023505,0.688557,0.690907,0.0172365
62,7.60E-64,0.289909,0.000283817,0.0152349,0.0023505,0.692222,0.694572,0.0155187
63,7.51E-65,0.288168,0.000234844,0.0137274,0.0023505,0.69552,0.69787,0.0139622
64,7.43E-66,0.28661,0.00019415,0.0123598,0.0023505,0.698485,0.700836,0.012554
65,7.35E-67,0.285218,0.000160382,0.011121,0.0023505,0.70115,0.7035,0.0112814
66,7.29E-68,0.283973,0.000132395,0.0100005,0.0023505,0.703544,0.705894,0.0101328
67,7.23E-69,0.28286,0.000109222,0.00898796,0.0023505,0.705692,0.708043,0.00909718
68,7.17E-70,0.281864,9.01E-05,0.00807411,0.0023505,0.707621,0.709971,0.00816417
69,7.13E-71,0.280974,7.42E-05,0.00725007,0.0023505,0.709351,0.711702,0.00732429
70,7.09E-72,0.280178,6.11E-05,0.00650764,0.0023505,0.710903,0.713253,0.00656877
71,7.05E-73,0.279466,5.03E-05,0.00583923,0.0023505,0.712294,0.714644,0.00588957
72,7.02E-74,0.27883,4.14E-05,0.00523787,0.0023505,0.71354,0.715891,0.0052793
73,6.99E-75,0.27826,3.41E-05,0.00469716,0.0023505,0.714658,0.717008,0.00473125
74,6.96E-76,0.277751,2.80E-05,0.00421122,0.0023505,0.715659,0.718009,0.00423927
75,6.94E-77,0.277296,2.31E-05,0.00377473,0.0023505,0.716556,0.718906,0.0037978
76,6.91E-78,0.276889,1.90E-05,0.00338282,0.0023505,0.717359,0.719709,0.00340178
77,6.90E-79,0.276525,1.56E-05,0.00303107,0.0023505,0.718078,0.720429,0.00304665
78,6.88E-80,0.276199,1.28E-05,0.00271546,0.0023505,0.718722,0.721073,0.00272827
79,6.86E-81,0.275908,1.05E-05,0.00243238,0.0023505,0.719299,0.72165,0.00244291
80,6.85E-82,0.275647,8.65E-06,0.00217853,0.0023505,0.719815,0.722166,0.00218718
