i,S,V,Ip,Im,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90),,i,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,,,,,,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,Im(e1 = e2 = 0.10),Im(e1 = e2 = 0.50),Im(e1 = e2 = 0.90)
40,0.000420621,0.0432965,0.000145902,0.00321,0.952927,0.0033559,0.0206897,0.00119407,,40,0.00238843,2.68E-05,1.20E-05,,,,,,,0.00238843,2.68E-05,1.20E-05,,0.00383475,0.054282,4.98E-05
41,0.000377544,0.0432371,0.000107889,0.00263035,0.953647,0.00273824,0.0181646,0.00102481,,41,0.00201462,2.31E-05,1.04E-05,,,,,,,0.00201462,2.31E-05,1.04E-05,,0.00314682,0.0503445,4.30E-05
42,0.000339045,0.0431922,7.98E-05,0.00215518,0.954234,0.00223496,0.0159399,0.000879194,,42,0.00169858,1.99E-05,8.97E-06,,,,,,,0.00169858,1.99E-05,8.97E-06,,0.00258202,0.0465322,3.72E-05
43,0.000304596,0.0431588,5.90E-05,0.00176573,0.954712,0.0018247,0.0139819,0.000753999,,43,0.00143158,1.72E-05,7.75E-06,,,,,,,0.00143158,1.72E-05,7.75E-06,,0.00211841,0.0428752,3.21E-05
44,0.000273736,0.0431343,4.36E-05,0.00144656,0.955102,0.00149016,0.0122604,0.000646428,,44,0.00120615,1.48E-05,6.69E-06,,,,,,,0.00120615,1.48E-05,6.69E-06,,0.00173791,0.039395,2.77E-05
45,0.000246069,0.0431169,3.22E-05,0.00118503,0.95542,0.00121726,0.0107479,0.00055405,,45,0.00101591,1.28E-05,5.78E-06,,,,,,,0.00101591,1.28E-05,5.78E-06,,0.00142568,0.0361062,2.40E-05
46,0.000221247,0.0431049,2.38E-05,0.000970746,0.955679,0.000994571,0.0094199,0.000474757,,46,0.00085546,1.10E-05,5.00E-06,,,,,,,0.00085546,1.10E-05,5.00E-06,,0.00116948,0.0330168,2.07E-05
47,0.000198964,0.0430971,1.76E-05,0.000795184,0.955891,0.000812795,0.00825453,0.000406724,,47,0.00072018,9.53E-06,4.32E-06,,,,,,,0.00072018,9.53E-06,4.32E-06,,0.000959284,0.0301303,1.79E-05
48,0.000178951,0.0430926,1.30E-05,0.000651355,0.956064,0.000664373,0.0072323,0.000348372,,48,0.000606167,8.23E-06,3.73E-06,,,,,,,0.000606167,8.23E-06,3.73E-06,,0.000786843,0.0274458,1.55E-05
49,0.00016097,0.0430906,9.62E-06,0.00053353,0.956205,0.000543152,0.00633596,0.000298342,,49,0.00051011,7.11E-06,3.23E-06,,,,,,,0.00051011,7.11E-06,3.23E-06,,0.000645383,0.0249594,1.34E-05
50,0.000144811,0.0430904,7.11E-06,0.000437012,0.956321,0.000444123,0.00555023,0.000255457,,50,0.000429204,6.14E-06,2.79E-06,,,,,,,0.000429204,6.14E-06,2.79E-06,,0.000529344,0.0226647,1.15E-05
51,0.000130283,0.0430915,5.26E-06,0.000357948,0.956415,0.000363205,0.00486161,0.000218708,,51,0.000361076,5.30E-06,2.41E-06,,,,,,,0.000361076,5.30E-06,2.41E-06,,0.000434161,0.0205538,9.97E-06
52,0.000117221,0.0430936,3.88E-06,0.000293186,0.956492,0.000297071,0.00425822,0.000187223,,52,0.000303723,4.58E-06,2.09E-06,,,,,,,0.000303723,4.58E-06,2.09E-06,,0.000356088,0.0186173,8.61E-06
53,0.000105474,0.0430965,2.87E-06,0.000240138,0.956555,0.000243009,0.00372959,0.000160254,,53,0.000255449,3.96E-06,1.80E-06,,,,,,,0.000255449,3.96E-06,1.80E-06,,0.000292051,0.0168454,7.44E-06
54,9.49E-05,0.0430997,2.12E-06,0.000196687,0.956607,0.000198809,0.00326651,0.000137157,,54,0.000214825,3.42E-06,1.56E-06,,,,,,,0.000214825,3.42E-06,1.56E-06,,0.000239528,0.0152275,6.43E-06
55,8.54E-05,0.0431032,1.57E-06,0.000161097,0.956649,0.000162665,0.00286089,0.000117379,,55,0.000180644,2.95E-06,1.35E-06,,,,,,,0.000180644,2.95E-06,1.35E-06,,0.000196449,0.0137533,5.55E-06
56,7.69E-05,0.0431069,1.16E-06,0.000131946,0.956683,0.000133105,0.00250562,0.000100446,,56,0.000151888,2.55E-06,1.17E-06,,,,,,,0.000151888,2.55E-06,1.17E-06,,0.000161117,0.0124123,4.80E-06
57,6.92E-05,0.0431106,8.57E-07,0.00010807,0.956711,0.000108927,0.00219447,8.60E-05,,57,0.0001277,2.21E-06,1.01E-06,,,,,,,0.0001277,2.21E-06,1.01E-06,,0.000132139,0.0111943,4.14E-06
58,6.22E-05,0.0431142,6.33E-07,8.85E-05,0.956734,8.91E-05,0.00192197,7.35E-05,,58,0.000107356,1.91E-06,8.73E-07,,,,,,,0.000107356,1.91E-06,8.73E-07,,0.000108372,0.0100896,3.58E-06
59,5.60E-05,0.0431178,4.68E-07,7.25E-05,0.956753,7.30E-05,0.00168332,6.29E-05,,59,9.02E-05,1.65E-06,7.55E-07,,,,,,,9.02E-05,1.65E-06,7.55E-07,,8.89E-05,0.00908892,3.09E-06
60,5.04E-05,0.0431212,3.46E-07,5.94E-05,0.956769,5.97E-05,0.00147432,5.38E-05,,60,7.59E-05,1.42E-06,6.53E-07,,,,,,,7.59E-05,1.42E-06,6.53E-07,,7.29E-05,0.00818344,2.67E-06
61,4.54E-05,0.0431244,2.56E-07,4.86E-05,0.956781,4.89E-05,0.00129129,4.61E-05,,61,6.38E-05,1.23E-06,5.65E-07,,,,,,,6.38E-05,1.23E-06,5.65E-07,,5.98E-05,0.00736489,2.31E-06
