i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90)
20,0.00843562,0.0871189,0.0491189,0.143302,0.233607,0.478418,0.712025,0.192421,0.158912,0.0193563
21,0.00642035,0.076069,0.0382229,0.12262,0.24248,0.514188,0.756668,0.160843,0.153685,0.0173306
22,0.00503307,0.068042,0.029371,0.103802,0.249535,0.544216,0.793752,0.133173,0.1465,0.0154251
23,0.00404618,0.0621334,0.0223627,0.0871894,0.255112,0.569156,0.824268,0.109552,0.137892,0.0136589
24,0.00332183,0.0577275,0.0169114,0.072815,0.259505,0.58972,0.849224,0.0897264,0.128369,0.0120416
25,0.00277471,0.0544034,0.0127242,0.0605493,0.262957,0.606591,0.869548,0.0732735,0.118375,0.0105753
26,0.00235065,0.0518702,0.00953694,0.0501859,0.265667,0.620389,0.886056,0.0597228,0.108273,0.00925681
27,0.00201439,0.0499234,0.00712698,0.0414925,0.267794,0.631649,0.899443,0.0486195,0.0983491,0.00807946
28,0.00174237,0.048417,0.00531386,0.0342388,0.269461,0.640827,0.910288,0.0395527,0.0888094,0.00703427
29,0.00151848,0.0472451,0.00395495,0.0282106,0.270769,0.648302,0.919071,0.0321656,0.0797956,0.00611101
30,0.00133144,0.0463296,0.00293943,0.0232162,0.271796,0.654388,0.926183,0.0261556,0.0713947,0.00529889
31,0.00117321,0.0456124,0.00218225,0.0190881,0.272601,0.659343,0.931944,0.0212704,0.0636514,0.00458711
32,0.00103792,0.0450493,0.00161869,0.0156823,0.273234,0.663378,0.936612,0.017301,0.0565781,0.00396521
33,0.000921196,0.044607,0.00119982,0.0128766,0.27373,0.666665,0.940395,0.0140764,0.0501642,0.0034233
34,0.00081974,0.0442594,0.000888844,0.0105677,0.274121,0.669343,0.943464,0.0114566,0.0443834,0.00295217
35,0.000731005,0.0439865,0.000658171,0.00866957,0.274428,0.671527,0.945955,0.00932774,0.0391992,0.00254341
36,0.000652996,0.0437725,0.000487185,0.00711015,0.274669,0.673308,0.947977,0.00759734,0.0345691,0.00218937
37,0.000584125,0.0436053,0.000360513,0.00582977,0.274859,0.674761,0.94962,0.00619028,0.030448,0.00188319
38,0.00052311,0.0434751,0.000266714,0.00477899,0.275009,0.675947,0.950956,0.0050457,0.0267903,0.00161877
39,0.0004689,0.0433742,0.000197282,0.00391696,0.275126,0.676916,0.952043,0.00411425,0.0235517,0.00139065
40,0.000420621,0.0432965,0.000145902,0.00321,0.275219,0.677708,0.952927,0.0033559,0.0206897,0.00119407
41,0.000377544,0.0432371,0.000107889,0.00263035,0.275292,0.678355,0.953647,0.00273824,0.0181646,0.00102481
42,0.000339045,0.0431922,7.98E-05,0.00215518,0.27535,0.678884,0.954234,0.00223496,0.0159399,0.000879194
43,0.000304596,0.0431588,5.90E-05,0.00176573,0.275395,0.679317,0.954712,0.0018247,0.0139819,0.000753999
44,0.000273736,0.0431343,4.36E-05,0.00144656,0.275431,0.679671,0.955102,0.00149016,0.0122604,0.000646428
45,0.000246069,0.0431169,3.22E-05,0.00118503,0.275459,0.679961,0.95542,0.00121726,0.0107479,0.00055405
46,0.000221247,0.0431049,2.38E-05,0.000970746,0.275481,0.680198,0.955679,0.000994571,0.0094199,0.000474757
47,0.000198964,0.0430971,1.76E-05,0.000795184,0.275499,0.680392,0.955891,0.000812795,0.00825453,0.000406724
48,0.000178951,0.0430926,1.30E-05,0.000651355,0.275513,0.680551,0.956064,0.000664373,0.0072323,0.000348372
49,0.00016097,0.0430906,9.62E-06,0.00053353,0.275524,0.680682,0.956205,0.000543152,0.00633596,0.000298342
50,0.000144811,0.0430904,7.11E-06,0.000437012,0.275532,0.680789,0.956321,0.000444123,0.00555023,0.000255457
51,0.000130283,0.0430915,5.26E-06,0.000357948,0.275539,0.680876,0.956415,0.000363205,0.00486161,0.000218708
52,0.000117221,0.0430936,3.88E-06,0.000293186,0.275544,0.680948,0.956492,0.000297071,0.00425822,0.000187223
53,0.000105474,0.0430965,2.87E-06,0.000240138,0.275549,0.681007,0.956555,0.000243009,0.00372959,0.000160254
54,9.49E-05,0.0430997,2.12E-06,0.000196687,0.275552,0.681055,0.956607,0.000198809,0.00326651,0.000137157
55,8.54E-05,0.0431032,1.57E-06,0.000161097,0.275555,0.681094,0.956649,0.000162665,0.00286089,0.000117379
56,7.69E-05,0.0431069,1.16E-06,0.000131946,0.275557,0.681127,0.956683,0.000133105,0.00250562,0.000100446
57,6.92E-05,0.0431106,8.57E-07,0.00010807,0.275558,0.681153,0.956711,0.000108927,0.00219447,8.60E-05
58,6.22E-05,0.0431142,6.33E-07,8.85E-05,0.27556,0.681175,0.956734,8.91E-05,0.00192197,7.35E-05
59,5.60E-05,0.0431178,4.68E-07,7.25E-05,0.275561,0.681193,0.956753,7.30E-05,0.00168332,6.29E-05
60,5.04E-05,0.0431212,3.46E-07,5.94E-05,0.275561,0.681207,0.956769,5.97E-05,0.00147432,5.38E-05
61,4.54E-05,0.0431244,2.56E-07,4.86E-05,0.275562,0.681219,0.956781,4.89E-05,0.00129129,4.61E-05
62,4.08E-05,0.0431275,1.89E-07,3.98E-05,0.275563,0.681229,0.956792,4.00E-05,0.00113099,3.94E-05
63,3.67E-05,0.0431304,1.40E-07,3.26E-05,0.275563,0.681237,0.9568,3.28E-05,0.000990613,3.37E-05
64,3.31E-05,0.0431331,1.03E-07,2.67E-05,0.275563,0.681244,0.956807,2.68E-05,0.000867673,2.88E-05
65,2.98E-05,0.0431356,7.63E-08,2.19E-05,0.275563,0.681249,0.956813,2.20E-05,0.000760004,2.47E-05
66,2.68E-05,0.0431379,5.64E-08,1.79E-05,0.275564,0.681254,0.956817,1.80E-05,0.000665706,2.11E-05
67,2.41E-05,0.04314,4.17E-08,1.47E-05,0.275564,0.681257,0.956821,1.47E-05,0.000583119,1.80E-05
68,2.17E-05,0.043142,3.08E-08,1.20E-05,0.275564,0.68126,0.956824,1.21E-05,0.000510786,1.54E-05
69,1.95E-05,0.0431438,2.28E-08,9.85E-06,0.275564,0.681263,0.956827,9.87E-06,0.000447433,1.32E-05
70,1.76E-05,0.0431455,1.68E-08,8.07E-06,0.275564,0.681265,0.956829,8.08E-06,0.000391945,1.13E-05
71,1.58E-05,0.043147,1.24E-08,6.61E-06,0.275564,0.681266,0.956831,6.62E-06,0.000343343,9.66E-06
72,1.42E-05,0.0431484,9.18E-09,5.41E-06,0.275564,0.681268,0.956832,5.42E-06,0.000300772,8.26E-06
73,1.28E-05,0.0431496,6.79E-09,4.43E-06,0.275564,0.681269,0.956833,4.44E-06,0.000263483,7.07E-06
74,1.15E-05,0.0431508,5.02E-09,3.63E-06,0.275564,0.68127,0.956834,3.63E-06,0.00023082,6.04E-06
75,1.04E-05,0.0431518,3.71E-09,2.97E-06,0.275564,0.681271,0.956835,2.98E-06,0.000202209,5.17E-06
76,9.34E-06,0.0431528,2.74E-09,2.43E-06,0.275564,0.681271,0.956835,2.44E-06,0.000177147,4.42E-06
77,8.40E-06,0.0431536,2.03E-09,1.99E-06,0.275564,0.681272,0.956836,2.00E-06,0.000155193,3.78E-06
78,7.56E-06,0.0431544,1.50E-09,1.63E-06,0.275564,0.681272,0.956836,1.63E-06,0.000135961,3.23E-06
79,6.81E-06,0.0431551,1.11E-09,1.34E-06,0.275564,0.681272,0.956837,1.34E-06,0.000119113,2.77E-06
80,6.13E-06,0.0431558,8.18E-10,1.10E-06,0.275564,0.681273,0.956837,1.10E-06,0.000104354,2.37E-06
