i,S,V,Ip(e1=e2=0.90),Im(e1=e2=0.90),Rs,Rv,P,I(e1=e2=0.90)
61,4.18E-19,0.990111,2.20E-09,5.81E-07,0.00533253,0.00455622,0.00988875,5.83E-07
62,2.09E-19,0.990111,1.74E-09,5.03E-07,0.00533253,0.00455634,0.00988887,5.05E-07
63,1.05E-19,0.990111,1.37E-09,4.35E-07,0.00533253,0.00455644,0.00988898,4.37E-07
64,5.23E-20,0.990111,1.08E-09,3.77E-07,0.00533253,0.00455654,0.00988907,3.78E-07
65,2.61E-20,0.990111,8.54E-10,3.26E-07,0.00533253,0.00455662,0.00988915,3.27E-07
66,1.31E-20,0.99011,6.74E-10,2.82E-07,0.00533253,0.00455669,0.00988922,2.83E-07
67,6.53E-21,0.99011,5.32E-10,2.44E-07,0.00533253,0.00455674,0.00988928,2.45E-07
68,3.27E-21,0.99011,4.20E-10,2.12E-07,0.00533253,0.0045568,0.00988933,2.12E-07
69,1.63E-21,0.99011,3.31E-10,1.83E-07,0.00533253,0.00455684,0.00988938,1.83E-07
70,8.16E-22,0.99011,2.61E-10,1.58E-07,0.00533253,0.00455688,0.00988941,1.59E-07
71,4.08E-22,0.99011,2.06E-10,1.37E-07,0.00533253,0.00455691,0.00988945,1.37E-07
72,2.04E-22,0.99011,1.63E-10,1.19E-07,0.00533253,0.00455694,0.00988948,1.19E-07
73,1.02E-22,0.99011,1.28E-10,1.03E-07,0.00533253,0.00455697,0.0098895,1.03E-07
74,5.10E-23,0.99011,1.01E-10,8.89E-08,0.00533253,0.00455699,0.00988952,8.90E-08
75,2.55E-23,0.99011,8.00E-11,7.70E-08,0.00533253,0.00455701,0.00988954,7.71E-08
76,1.28E-23,0.99011,6.31E-11,6.66E-08,0.00533253,0.00455702,0.00988956,6.67E-08
77,6.38E-24,0.99011,4.98E-11,5.77E-08,0.00533253,0.00455704,0.00988957,5.77E-08
78,3.19E-24,0.99011,3.93E-11,4.99E-08,0.00533253,0.00455705,0.00988958,5.00E-08
79,1.59E-24,0.99011,3.10E-11,4.32E-08,0.00533253,0.00455706,0.0098896,4.32E-08
80,7.97E-25,0.99011,2.45E-11,3.74E-08,0.00533253,0.00455707,0.0098896,3.74E-08
