i,S,V,Ip(e1=e2=0.90),Im(e1=e2=0.90),Rs,Rv,P,I(e1=e2=0.90)
32,9.77E-33,0.994074,1.04E-06,2.00E-05,0.00234892,0.00355582,0.00590474,2.10E-05
33,9.77E-34,0.994073,8.18E-07,1.73E-05,0.00234905,0.00356021,0.00590926,1.81E-05
34,9.77E-35,0.994071,6.46E-07,1.50E-05,0.00234916,0.003564,0.00591316,1.56E-05
35,9.77E-36,0.99407,5.10E-07,1.30E-05,0.00234925,0.00356726,0.00591651,1.35E-05
36,9.77E-37,0.994069,4.03E-07,1.12E-05,0.00234931,0.00357009,0.0059194,1.16E-05
37,9.77E-38,0.994068,3.18E-07,9.73E-06,0.00234937,0.00357252,0.00592189,1.00E-05
38,9.77E-39,0.994067,2.51E-07,8.43E-06,0.00234941,0.00357463,0.00592403,8.68E-06
39,9.77E-40,0.994067,1.98E-07,7.30E-06,0.00234944,0.00357645,0.00592589,7.49E-06
40,9.77E-41,0.994066,1.56E-07,6.32E-06,0.00234946,0.00357802,0.00592748,6.47E-06
41,9.77E-42,0.994066,1.24E-07,5.47E-06,0.00234948,0.00357938,0.00592886,5.59E-06
42,9.77E-43,0.994065,9.75E-08,4.74E-06,0.0023495,0.00358055,0.00593005,4.83E-06
43,9.77E-44,0.994065,7.70E-08,4.10E-06,0.00234951,0.00358157,0.00593108,4.18E-06
44,9.77E-45,0.994064,6.08E-08,3.55E-06,0.00234952,0.00358244,0.00593197,3.61E-06
45,9.77E-46,0.994064,4.80E-08,3.07E-06,0.00234953,0.0035832,0.00593273,3.12E-06
46,9.77E-47,0.994064,3.79E-08,2.66E-06,0.00234954,0.00358386,0.0059334,2.70E-06
47,9.77E-48,0.994064,2.99E-08,2.30E-06,0.00234954,0.00358443,0.00593397,2.33E-06
48,9.77E-49,0.994064,2.36E-08,2.00E-06,0.00234955,0.00358492,0.00593446,2.02E-06
49,9.77E-50,0.994063,1.86E-08,1.73E-06,0.00234955,0.00358534,0.00593489,1.75E-06
50,9.77E-51,0.994063,1.47E-08,1.50E-06,0.00234955,0.00358571,0.00593526,1.51E-06
51,9.77E-52,0.994063,1.16E-08,1.30E-06,0.00234955,0.00358603,0.00593558,1.31E-06
52,9.77E-53,0.994063,9.18E-09,1.12E-06,0.00234955,0.00358631,0.00593586,1.13E-06
53,9.77E-54,0.994063,7.25E-09,9.71E-07,0.00234956,0.00358654,0.0059361,9.78E-07
54,9.77E-55,0.994063,5.72E-09,8.41E-07,0.00234956,0.00358675,0.00593631,8.46E-07
55,9.77E-56,0.994063,4.52E-09,7.28E-07,0.00234956,0.00358693,0.00593648,7.32E-07
56,9.77E-57,0.994063,3.57E-09,6.30E-07,0.00234956,0.00358708,0.00593664,6.34E-07
57,9.77E-58,0.994063,2.82E-09,5.46E-07,0.00234956,0.00358722,0.00593677,5.48E-07
58,9.77E-59,0.994063,2.22E-09,4.72E-07,0.00234956,0.00358733,0.00593689,4.75E-07
59,9.77E-60,0.994063,1.75E-09,4.09E-07,0.00234956,0.00358743,0.00593699,4.11E-07
60,9.77E-61,0.994063,1.39E-09,3.54E-07,0.00234956,0.00358752,0.00593708,3.56E-07
61,9.77E-62,0.994063,1.09E-09,3.07E-07,0.00234956,0.00358759,0.00593715,3.08E-07
62,9.77E-63,0.994063,8.64E-10,2.66E-07,0.00234956,0.00358766,0.00593722,2.66E-07
63,9.77E-64,0.994062,6.82E-10,2.30E-07,0.00234956,0.00358771,0.00593727,2.31E-07
64,9.77E-65,0.994062,5.38E-10,1.99E-07,0.00234956,0.00358776,0.00593732,2.00E-07
65,9.77E-66,0.994062,4.25E-10,1.72E-07,0.00234956,0.0035878,0.00593736,1.73E-07
66,9.77E-67,0.994062,3.35E-10,1.49E-07,0.00234956,0.00358784,0.0059374,1.50E-07
67,9.77E-68,0.994062,2.65E-10,1.29E-07,0.00234956,0.00358787,0.00593743,1.29E-07
68,9.77E-69,0.994062,2.09E-10,1.12E-07,0.00234956,0.0035879,0.00593746,1.12E-07
69,9.77E-70,0.994062,1.65E-10,9.69E-08,0.00234956,0.00358792,0.00593748,9.70E-08
70,9.77E-71,0.994062,1.30E-10,8.39E-08,0.00234956,0.00358794,0.0059375,8.40E-08
71,9.77E-72,0.994062,1.03E-10,7.26E-08,0.00234956,0.00358796,0.00593752,7.27E-08
72,9.77E-73,0.994062,8.12E-11,6.29E-08,0.00234956,0.00358798,0.00593754,6.30E-08
73,9.77E-74,0.994062,6.41E-11,5.44E-08,0.00234956,0.00358799,0.00593755,5.45E-08
74,9.77E-75,0.994062,5.06E-11,4.71E-08,0.00234956,0.003588,0.00593756,4.72E-08
75,9.77E-76,0.994062,4.00E-11,4.08E-08,0.00234956,0.00358801,0.00593757,4.09E-08
76,9.77E-77,0.994062,3.16E-11,3.53E-08,0.00234956,0.00358802,0.00593758,3.54E-08
77,9.77E-78,0.994062,2.49E-11,3.06E-08,0.00234956,0.00358803,0.00593759,3.06E-08
78,9.77E-79,0.994062,1.97E-11,2.65E-08,0.00234956,0.00358803,0.00593759,2.65E-08
79,9.77E-80,0.994062,1.55E-11,2.29E-08,0.00234956,0.00358804,0.0059376,2.30E-08
80,9.77E-81,0.994062,1.23E-11,1.99E-08,0.00234956,0.00358804,0.0059376,1.99E-08
