e1,e2,V,Rs,Rv,P 
0.01,0.7,0.990996,0.0053149,0.00368937,0.00900427
0.01,0.71,0.991014,0.0053144,0.00367166,0.00898606
0.01,0.72,0.991032,0.0053139,0.00365414,0.00896804
0.01,0.73,0.99105,0.0053134,0.00363682,0.00895022
0.01,0.74,0.991067,0.0053129,0.00361968,0.00893258
0.01,0.75,0.991085,0.0053124,0.00360273,0.00891513
0.01,0.76,0.991102,0.0053119,0.00358596,0.00889786
0.01,0.77,0.991119,0.00531141,0.00356937,0.00888077
0.01,0.78,0.991136,0.00531091,0.00355295,0.00886386
0.01,0.79,0.991153,0.00531041,0.00353671,0.00884712
0.01,0.8,0.991169,0.00530992,0.00352064,0.00883056
0.01,0.81,0.991186,0.00530943,0.00350473,0.00881416
0.01,0.82,0.991202,0.00530893,0.00348899,0.00879793
0.01,0.83,0.991218,0.00530844,0.00347342,0.00878186
0.01,0.84,0.991234,0.00530795,0.003458,0.00876595
0.01,0.85,0.99125,0.00530746,0.00344275,0.0087502
0.01,0.86,0.991265,0.00530697,0.00342765,0.00873461
0.01,0.87,0.991281,0.00530648,0.0034127,0.00871917
0.01,0.88,0.991296,0.00530599,0.0033979,0.00870389
0.01,0.89,0.991311,0.0053055,0.00338325,0.00868875
0.01,0.9,0.991326,0.00530501,0.00336875,0.00867376
0.01,0.91,0.991341,0.00530452,0.0033544,0.00865892
0.01,0.92,0.991356,0.00530404,0.00334018,0.00864422
0.01,0.93,0.99137,0.00530355,0.00332611,0.00862966
0.01,0.94,0.991385,0.00530307,0.00331217,0.00861524
0.01,0.95,0.991399,0.00530258,0.00329837,0.00860096
0.01,0.96,0.991413,0.0053021,0.00328471,0.00858681
0.01,0.97,0.991427,0.00530162,0.00327117,0.00857279
0.01,0.98,0.991441,0.00530114,0.00325777,0.00855891
0.01,0.99,0.991455,0.00530065,0.0032445,0.00854515
0.01,1,0.991468,0.00530017,0.00323135,0.00853152
0.02,0,0.98895,0.00535153,0.00569806,0.0110496
0.02,0.01,0.988998,0.00535097,0.0056515,0.0110025
0.02,0.02,0.989044,0.00535041,0.00560575,0.0109562
0.02,0.03,0.989089,0.00534985,0.00556079,0.0109106
0.02,0.04,0.989134,0.0053493,0.00551659,0.0108659
0.02,0.05,0.989178,0.00534874,0.00547315,0.0108219
0.02,0.06,0.989221,0.00534819,0.00543043,0.0107786
0.02,0.07,0.989264,0.00534764,0.00538843,0.0107361
0.02,0.08,0.989306,0.00534708,0.00534712,0.0106942
0.02,0.09,0.989347,0.00534653,0.00530649,0.010653
0.02,0.1,0.989388,0.00534598,0.00526652,0.0106125
0.02,0.11,0.989427,0.00534543,0.00522719,0.0105726
0.02,0.12,0.989467,0.00534488,0.0051885,0.0105334
0.02,0.13,0.989505,0.00534433,0.00515042,0.0104948
0.02,0.14,0.989543,0.00534379,0.00511294,0.0104567
0.02,0.15,0.989581,0.00534324,0.00507605,0.0104193
0.02,0.16,0.989618,0.00534269,0.00503973,0.0103824
0.02,0.17,0.989654,0.00534215,0.00500397,0.0103461
0.02,0.18,0.98969,0.00534161,0.00496876,0.0103104
0.02,0.19,0.989725,0.00534106,0.00493409,0.0102752
0.02,0.2,0.98976,0.00534052,0.00489994,0.0102405
0.02,0.21,0.989794,0.00533998,0.0048663,0.0102063
0.02,0.22,0.989827,0.00533944,0.00483316,0.0101726
0.02,0.23,0.989861,0.0053389,0.00480051,0.0101394
0.02,0.24,0.989893,0.00533836,0.00476833,0.0101067
0.02,0.25,0.989926,0.00533782,0.00473663,0.0100745
0.02,0.26,0.989957,0.00533729,0.00470538,0.0100427
0.02,0.27,0.989989,0.00533675,0.00467459,0.0100113
0.02,0.28,0.99002,0.00533621,0.00464423,0.00998044
0.02,0.29,0.99005,0.00533568,0.0046143,0.00994998
0.02,0.3,0.99008,0.00533515,0.0045848,0.00991994
0.02,0.31,0.99011,0.00533461,0.0045557,0.00989031
0.02,0.32,0.990139,0.00533408,0.00452701,0.00986109
0.02,0.33,0.990168,0.00533355,0.00449871,0.00983226
0.02,0.34,0.990196,0.00533302,0.00447081,0.00980382
0.02,0.35,0.990224,0.00533249,0.00444328,0.00977577
0.02,0.36,0.990252,0.00533196,0.00441612,0.00974808
0.02,0.37,0.990279,0.00533143,0.00438933,0.00972076
0.02,0.38,0.990306,0.00533091,0.00436289,0.0096938
0.02,0.39,0.990333,0.00533038,0.00433681,0.00966719
0.02,0.4,0.990359,0.00532985,0.00431107,0.00964092
0.02,0.41,0.990385,0.00532933,0.00428566,0.00961499
0.02,0.42,0.990411,0.0053288,0.00426059,0.0095894
0.02,0.43,0.990436,0.00532828,0.00423584,0.00956412
0.02,0.44,0.990461,0.00532776,0.00421141,0.00953917
0.02,0.45,0.990485,0.00532724,0.00418729,0.00951453
0.02,0.46,0.99051,0.00532672,0.00416348,0.00949019
0.02,0.47,0.990534,0.0053262,0.00413996,0.00946616
0.02,0.48,0.990558,0.00532568,0.00411674,0.00944242
0.02,0.49,0.990581,0.00532516,0.00409381,0.00941897
0.02,0.5,0.990604,0.00532464,0.00407117,0.00939581
0.02,0.51,0.990627,0.00532412,0.0040488,0.00937293
0.02,0.52,0.99065,0.00532361,0.00402671,0.00935032
0.02,0.53,0.990672,0.00532309,0.00400488,0.00932798
0.02,0.54,0.990694,0.00532258,0.00398332,0.0093059
0.02,0.55,0.990716,0.00532207,0.00396202,0.00928409
0.02,0.56,0.990737,0.00532155,0.00394098,0.00926253
0.02,0.57,0.990759,0.00532104,0.00392018,0.00924122
0.02,0.58,0.99078,0.00532053,0.00389963,0.00922016
0.02,0.59,0.990801,0.00532002,0.00387932,0.00919934
0.02,0.6,0.990821,0.00531951,0.00385925,0.00917876
0.02,0.61,0.990842,0.005319,0.00383941,0.00915841
0.02,0.62,0.990862,0.00531849,0.0038198,0.00913829
0.02,0.63,0.990882,0.00531798,0.00380042,0.0091184
0.02,0.64,0.990901,0.00531748,0.00378126,0.00909873
0.02,0.65,0.990921,0.00531697,0.00376231,0.00907928
0.02,0.66,0.99094,0.00531647,0.00374358,0.00906005
0.02,0.67,0.990959,0.00531596,0.00372506,0.00904102
0.02,0.68,0.990978,0.00531546,0.00370675,0.00902221
0.02,0.69,0.990996,0.00531495,0.00368864,0.0090036
0.02,0.7,0.991015,0.00531445,0.00367073,0.00898519
0.02,0.71,0.991033,0.00531395,0.00365302,0.00896697
0.02,0.72,0.991051,0.00531345,0.00363551,0.00894896
0.02,0.73,0.991069,0.00531295,0.00361818,0.00893113
0.02,0.74,0.991087,0.00531245,0.00360104,0.00891349
0.02,0.75,0.991104,0.00531195,0.00358409,0.00889604
0.02,0.76,0.991121,0.00531145,0.00356732,0.00887877
0.02,0.77,0.991138,0.00531096,0.00355073,0.00886168
0.02,0.78,0.991155,0.00531046,0.00353431,0.00884477
0.02,0.79,0.991172,0.00530996,0.00351807,0.00882803
0.02,0.8,0.991189,0.00530947,0.00350199,0.00881146
0.02,0.81,0.991205,0.00530898,0.00348609,0.00879507
0.02,0.82,0.991221,0.00530848,0.00347035,0.00877883
0.02,0.83,0.991237,0.00530799,0.00345478,0.00876277
0.02,0.84,0.991253,0.0053075,0.00343936,0.00874686
0.02,0.85,0.991269,0.00530701,0.0034241,0.00873111
0.02,0.86,0.991284,0.00530652,0.003409,0.00871552
0.02,0.87,0.9913,0.00530603,0.00339405,0.00870008
0.02,0.88,0.991315,0.00530554,0.00337926,0.00868479
0.02,0.89,0.99133,0.00530505,0.00336461,0.00866966
0.02,0.9,0.991345,0.00530456,0.00335011,0.00865467
0.02,0.91,0.99136,0.00530407,0.00333575,0.00863982
0.02,0.92,0.991375,0.00530359,0.00332153,0.00862512
0.02,0.93,0.991389,0.0053031,0.00330746,0.00861056
0.02,0.94,0.991404,0.00530262,0.00329352,0.00859614
0.02,0.95,0.991418,0.00530213,0.00327972,0.00858186
0.02,0.96,0.991432,0.00530165,0.00326606,0.00856771
0.02,0.97,0.991446,0.00530117,0.00325252,0.00855369
0.02,0.98,0.99146,0.00530069,0.00323912,0.00853981
0.02,0.99,0.991474,0.00530021,0.00322585,0.00852605
0.02,1,0.991488,0.00529972,0.0032127,0.00851242
0.03,0,0.988969,0.00535108,0.00567968,0.0110308
