Betapv,Betamv,V,Rs,Rv,P
0.01,0.4 ,0.303009, 0.00542476,0.691566,0.696991
0.01,0.41 ,0.284625, 0.00568639,0.709689,0.715375
0.01,0.42 ,0.267592, 0.0059686,0.726439,0.732408
0.01,0.43 ,0.251797, 0.00627076,0.741933,0.748203
0.01,0.44 ,0.237137, 0.00659217,0.756271,0.762863
0.01,0.45 ,0.22352, 0.00693198,0.769548,0.77648
0.01,0.46 ,0.210863, 0.00728931,0.781848,0.789137
0.01,0.47 ,0.19909, 0.00766321,0.793247,0.80091
0.01,0.48 ,0.188131, 0.00805269,0.803816,0.811869
0.01,0.49 ,0.177926, 0.00845678,0.813617,0.822074
0.01,0.5 ,0.168416, 0.00887447,0.82271,0.831584
0.01,0.51 ,0.15955, 0.00930479,0.831146,0.84045
0.01,0.52 ,0.151279, 0.00974677,0.838974,0.848721
0.01,0.53 ,0.143562, 0.0101995,0.846239,0.856438
0.01,0.54 ,0.136357, 0.010662,0.852981,0.863643
0.01,0.55 ,0.129629, 0.0111334,0.859237,0.870371
0.01,0.56 ,0.123344, 0.0116129,0.865043,0.876656
0.01,0.57 ,0.117472, 0.0120997,0.870429,0.882528
0.01,0.58 ,0.111982, 0.012593,0.875425,0.888018
0.01,0.59 ,0.106851, 0.0130921,0.880057,0.893149
0.01,0.6 ,0.102053, 0.0135963,0.884351,0.897947
0.01,0.61 ,0.097566, 0.0141049,0.888329,0.902434
0.01,0.62 ,0.0933696, 0.0146173,0.892013,0.90663
0.01,0.63 ,0.0894447, 0.0151331,0.895422,0.910555
0.01,0.64 ,0.0857736, 0.0156515,0.898575,0.914226
0.01,0.65 ,0.0823398, 0.0161721,0.901488,0.91766
0.01,0.66 ,0.0791282, 0.0166945,0.904177,0.920872
0.01,0.67 ,0.0761245, 0.0172182,0.906657,0.923875
0.01,0.68 ,0.0733157, 0.0177427,0.908942,0.926684
0.01,0.69 ,0.0706895, 0.0182677,0.911043,0.929311
0.01,0.7 ,0.0682344, 0.0187929,0.912973,0.931766
0.01,0.71 ,0.0659399, 0.0193178,0.914742,0.93406
0.01,0.72 ,0.0637961, 0.0198423,0.916362,0.936204
0.01,0.73 ,0.0617936, 0.0203659,0.917841,0.938206
0.01,0.74 ,0.0599238, 0.0208885,0.919188,0.940076
0.01,0.75 ,0.0581787, 0.0214098,0.920412,0.941821
0.01,0.76 ,0.0565506, 0.0219295,0.92152,0.943449
0.01,0.77 ,0.0550326, 0.0224475,0.92252,0.944967
0.01,0.78 ,0.0536179, 0.0229636,0.923419,0.946382
0.01,0.79 ,0.0523003, 0.0234776,0.924222,0.9477
0.01,0.8 ,0.0510741, 0.0239893,0.924937,0.948926
0.01,0.81 ,0.0499337, 0.0244985,0.925568,0.950066
0.01,0.82 ,0.0488741, 0.0250052,0.926121,0.951126
0.01,0.83 ,0.0478903, 0.0255093,0.9266,0.95211
0.01,0.84 ,0.0469779, 0.0260105,0.927012,0.953022
0.01,0.85 ,0.0461325, 0.0265089,0.927359,0.953867
0.01,0.86 ,0.0453503, 0.0270043,0.927645,0.95465
0.01,0.87 ,0.0446274, 0.0274966,0.927876,0.955373
0.01,0.88 ,0.0439603, 0.0279858,0.928054,0.95604
0.01,0.89 ,0.0433456, 0.0284718,0.928183,0.956654
0.01,0.9 ,0.0427801, 0.0289545,0.928265,0.95722
0.01,0.91 ,0.042261, 0.0294339,0.928305,0.957739
0.01,0.92 ,0.0417854, 0.02991,0.928305,0.958215
0.01,0.93 ,0.0413507, 0.0303826,0.928267,0.958649
0.01,0.94 ,0.0409543, 0.0308519,0.928194,0.959046
0.01,0.95 ,0.0405939, 0.0313176,0.928088,0.959406
0.01,0.96 ,0.0402674, 0.03178,0.927953,0.959733
0.01,0.97 ,0.0399726, 0.0322388,0.927789,0.960027
0.01,0.98 ,0.0397075, 0.0326941,0.927598,0.960292
0.01,0.99 ,0.0394703, 0.0331458,0.927384,0.96053
0.01,1 ,0.0392592, 0.0335941,0.927147,0.960741
0.02,0 ,0.99457, 0.00338957,0.00204039,0.00542996
0.02,0.01 ,0.994523, 0.0033956,0.00208161,0.00547722
0.02,0.02 ,0.994472, 0.00340185,0.00212587,0.00552773
0.02,0.03 ,0.994418, 0.00340835,0.00217356,0.00558191
0.02,0.04 ,0.99436, 0.0034151,0.00222514,0.00564024
0.02,0.05 ,0.994297, 0.00342213,0.00228118,0.00570331
0.02,0.06 ,0.994228, 0.00342945,0.00234237,0.00577182
0.02,0.07 ,0.994153, 0.0034371,0.00240954,0.00584665
0.02,0.08 ,0.994071, 0.0034451,0.00248375,0.00592885
0.02,0.09 ,0.99398, 0.00345348,0.00256631,0.0060198
0.02,0.1 ,0.993879, 0.00346228,0.00265892,0.0061212
0.02,0.11 ,0.993765, 0.00347153,0.00276378,0.00623531
0.02,0.12 ,0.993635, 0.00348128,0.00288383,0.00636511
0.02,0.13 ,0.993485, 0.00349159,0.00302306,0.00651465
0.02,0.14 ,0.99331, 0.00350251,0.00318711,0.00668962
0.02,0.15 ,0.993102, 0.00351411,0.00338412,0.00689823
0.02,0.16 ,0.992847, 0.00352649,0.0036264,0.00715288
0.02,0.17 ,0.992527, 0.00353973,0.00393352,0.00747325
0.02,0.18 ,0.992107, 0.00355396,0.00433861,0.00789257
0.02,0.19 ,0.991528, 0.00356932,0.00490266,0.00847198
0.02,0.2 ,0.990663, 0.00358599,0.00575145,0.00933743
0.02,0.21 ,0.989205, 0.00360418,0.0071909,0.0107951
0.02,0.22 ,0.986192, 0.00362417,0.0101841,0.0138082
0.02,0.23 ,0.977041, 0.00364632,0.0193126,0.0229589
0.02,0.24 ,0.940075, 0.00367106,0.0562512,0.0599222
0.02,0.25 ,0.875368, 0.00369899,0.120933,0.124632
0.02,0.26 ,0.810125, 0.00373087,0.186144,0.189875
0.02,0.27 ,0.749665, 0.00376772,0.246568,0.250335
0.02,0.28 ,0.694387, 0.00381081,0.301802,0.305613
0.02,0.29 ,0.643967, 0.00386172,0.352172,0.356033
0.02,0.3 ,0.59796, 0.00392225,0.398118,0.40204
0.02,0.31 ,0.555929, 0.00399435,0.440077,0.444071
0.02,0.32 ,0.517473, 0.00407998,0.478447,0.482527
0.02,0.33 ,0.482234, 0.00418104,0.513584,0.517766
0.02,0.34 ,0.449896, 0.00429922,0.545805,0.550104
0.02,0.35 ,0.420175, 0.00443596,0.575389,0.579825
0.02,0.36 ,0.392822, 0.0045924,0.602585,0.607178
0.02,0.37 ,0.367617, 0.00476938,0.627613,0.632383
0.02,0.38 ,0.344362, 0.00496742,0.65067,0.655638
0.02,0.39 ,0.322882, 0.00518674,0.671931,0.677118
0.02,0.4 ,0.30302, 0.00542733,0.691552,0.69698
0.02,0.41 ,0.284636, 0.00568893,0.709675,0.715364
0.02,0.42 ,0.267602, 0.0059711,0.726427,0.732398
0.02,0.43 ,0.251806, 0.00627323,0.74192,0.748194
0.02,0.44 ,0.237146, 0.0065946,0.756259,0.762854
0.02,0.45 ,0.223529, 0.00693438,0.769537,0.776471
0.02,0.46 ,0.210871, 0.00729168,0.781837,0.789129
0.02,0.47 ,0.199098, 0.00766554,0.793237,0.800902
0.02,0.48 ,0.188139, 0.00805499,0.803806,0.811861
0.02,0.49 ,0.177933, 0.00845904,0.813608,0.822067
0.02,0.5 ,0.168423, 0.0088767,0.8227,0.831577
0.02,0.51 ,0.159556, 0.00930698,0.831137,0.840444
0.02,0.52 ,0.151286, 0.00974892,0.838965,0.848714
0.02,0.53 ,0.143568, 0.0102016,0.84623,0.856432
0.02,0.54 ,0.136363, 0.010664,0.852973,0.863637
0.02,0.55 ,0.129635, 0.0111354,0.859229,0.870365
0.02,0.56 ,0.12335, 0.0116149,0.865035,0.87665
0.02,0.57 ,0.117477, 0.0121017,0.870422,0.882523
0.02,0.58 ,0.111987, 0.0125949,0.875418,0.888013
0.02,0.59 ,0.106856, 0.013094,0.88005,0.893144
0.02,0.6 ,0.102057, 0.0135981,0.884344,0.897943
0.02,0.61 ,0.0975704, 0.0141067,0.888323,0.90243
0.02,0.62 ,0.0933738, 0.0146192,0.892007,0.906626
0.02,0.63 ,0.0894487, 0.0151349,0.895416,0.910551
0.02,0.64 ,0.0857774, 0.0156533,0.898569,0.914223
0.02,0.65 ,0.0823434, 0.0161739,0.901483,0.917657
0.02,0.66 ,0.0791316, 0.0166962,0.904172,0.920868
0.02,0.67 ,0.0761278, 0.0172198,0.906652,0.923872
0.02,0.68 ,0.0733188, 0.0177444,0.908937,0.926681
0.02,0.69 ,0.0706925, 0.0182694,0.911038,0.929308
0.02,0.7 ,0.0682373, 0.0187945,0.912968,0.931763
0.02,0.71 ,0.0659426, 0.0193194,0.914738,0.934057
0.02,0.72 ,0.0637987, 0.0198438,0.916358,0.936201
0.02,0.73 ,0.061796, 0.0203675,0.917837,0.938204
0.02,0.74 ,0.0599262, 0.02089,0.919184,0.940074
0.02,0.75 ,0.0581809, 0.0214113,0.920408,0.941819
0.02,0.76 ,0.0565528, 0.021931,0.921516,0.943447
0.02,0.77 ,0.0550346, 0.022449,0.922516,0.944965
0.02,0.78 ,0.0536198, 0.022965,0.923415,0.94638
0.02,0.79 ,0.0523021, 0.023479,0.924219,0.947698
0.02,0.8 ,0.0510758, 0.0239906,0.924934,0.948924
0.02,0.81 ,0.0499353, 0.0244999,0.925565,0.950065
0.02,0.82 ,0.0488756, 0.0250066,0.926118,0.951124
0.02,0.83 ,0.0478917, 0.0255106,0.926598,0.952108
0.02,0.84 ,0.0469792, 0.0260118,0.927009,0.953021
0.02,0.85 ,0.0461338, 0.0265102,0.927356,0.953866
0.02,0.86 ,0.0453515, 0.0270055,0.927643,0.954648
0.02,0.87 ,0.0446285, 0.0274978,0.927874,0.955371
0.02,0.88 ,0.0439613, 0.027987,0.928052,0.956039
0.02,0.89 ,0.0433465, 0.028473,0.92818,0.956653
0.02,0.9 ,0.0427811, 0.0289557,0.928263,0.957219
0.02,0.91 ,0.0422619, 0.0294351,0.928303,0.957738
0.02,0.92 ,0.0417862, 0.0299111,0.928303,0.958214
0.02,0.93 ,0.0413514, 0.0303838,0.928265,0.958649
0.02,0.94 ,0.040955, 0.030853,0.928192,0.959045
0.02,0.95 ,0.0405946, 0.0313188,0.928087,0.959405
0.02,0.96 ,0.040268, 0.0317811,0.927951,0.959732
0.02,0.97 ,0.0399731, 0.0322399,0.927787,0.960027
0.02,0.98 ,0.039708, 0.0326951,0.927597,0.960292
0.02,0.99 ,0.0394708, 0.0331469,0.927382,0.960529
0.02,1 ,0.0392596, 0.0335951,0.927145,0.96074
0.03,0 ,0.994546, 0.00339249,0.00206195,0.00545444
0.03,0.01 ,0.994498, 0.00339852,0.00210317,0.00550169
0.03,0.02 ,0.994448, 0.00340477,0.00214743,0.0055522
0.03,0.03 ,0.994394, 0.00341127,0.00219511,0.00560638
0.03,0.04 ,0.994335, 0.00341802,0.00224669,0.00566471
0.03,0.05 ,0.994272, 0.00342504,0.00230273,0.00572778
0.03,0.06 ,0.994204, 0.00343237,0.00236391,0.00579629
0.03,0.07 ,0.994129, 0.00344002,0.00243108,0.00587111
0.03,0.08 ,0.994047, 0.00344802,0.00250529,0.00595331
0.03,0.09 ,0.993956, 0.0034564,0.00258785,0.00604425
0.03,0.1 ,0.993854, 0.0034652,0.00268045,0.00614565
0.03,0.11 ,0.99374, 0.00347445,0.0027853,0.00625975
0.03,0.12 ,0.99361, 0.0034842,0.00290534,0.00638954
0.03,0.13 ,0.993461, 0.0034945,0.00304456,0.00653907
0.03,0.14 ,0.993286, 0.00350542,0.00320859,0.00671402
0.03,0.15 ,0.993077, 0.00351703,0.00340558,0.00692261
0.03,0.16 ,0.992823, 0.0035294,0.00364783,0.00717723
0.03,0.17 ,0.992502, 0.00354264,0.00395491,0.00749755
0.03,0.18 ,0.992083, 0.00355687,0.00435994,0.00791681
0.03,0.19 ,0.991504, 0.00357223,0.00492388,0.00849611
0.03,0.2 ,0.990639, 0.00358889,0.00577245,0.00936134
0.03,0.21 ,0.989182, 0.00360709,0.00721141,0.0108185
0.03,0.22 ,0.98617, 0.00362708,0.0102031,0.0138301
0.03,0.23 ,0.977026, 0.00364922,0.0193242,0.0229735
0.03,0.24 ,0.940086, 0.00367396,0.0562376,0.0599116
0.03,0.25 ,0.875387, 0.00370188,0.120911,0.124613
0.03,0.26 ,0.810146, 0.00373376,0.186121,0.189854
0.03,0.27 ,0.749685, 0.0037706,0.246545,0.250315
0.03,0.28 ,0.694406, 0.00381369,0.30178,0.305594
0.03,0.29 ,0.643985, 0.0038646,0.35215,0.356015
0.03,0.3 ,0.597978, 0.00392512,0.398097,0.402022
0.03,0.31 ,0.555946, 0.0039972,0.440057,0.444054
0.03,0.32 ,0.517489, 0.00408282,0.478428,0.482511
0.03,0.33 ,0.48225, 0.00418386,0.513566,0.51775
0.03,0.34 ,0.44991, 0.00430202,0.545788,0.55009
0.03,0.35 ,0.420189, 0.00443874,0.575372,0.579811
0.03,0.36 ,0.392836, 0.00459516,0.602569,0.607164
0.03,0.37 ,0.36763, 0.00477211,0.627598,0.63237
0.03,0.38 ,0.344375, 0.00497011,0.650655,0.655625
0.03,0.39 ,0.322894, 0.00518941,0.671916,0.677106
0.03,0.4 ,0.303032, 0.00542997,0.691538,0.696968
0.03,0.41 ,0.284647, 0.00569153,0.709662,0.715353
0.03,0.42 ,0.267613, 0.00597367,0.726414,0.732387
0.03,0.43 ,0.251816, 0.00627577,0.741908,0.748184
0.03,0.44 ,0.237156, 0.0065971,0.756247,0.762844
0.03,0.45 ,0.223538, 0.00693684,0.769525,0.776462
0.03,0.46 ,0.21088, 0.0072941,0.781826,0.78912
0.03,0.47 ,0.199106, 0.00766792,0.793226,0.800894
0.03,0.48 ,0.188147, 0.00805734,0.803795,0.811853
0.03,0.49 ,0.177941, 0.00846135,0.813598,0.822059
0.03,0.5 ,0.16843, 0.00887898,0.822691,0.83157
0.03,0.51 ,0.159563, 0.00930922,0.831127,0.840437
0.03,0.52 ,0.151293, 0.00975113,0.838956,0.848707
0.03,0.53 ,0.143575, 0.0102038,0.846222,0.856425
0.03,0.54 ,0.13637, 0.0106662,0.852964,0.86363
0.03,0.55 ,0.129641, 0.0111375,0.859221,0.870359
0.03,0.56 ,0.123356, 0.011617,0.865027,0.876644
0.03,0.57 ,0.117482, 0.0121037,0.870414,0.882518
0.03,0.58 ,0.111993, 0.0125969,0.87541,0.888007
0.03,0.59 ,0.106861, 0.013096,0.880043,0.893139
0.03,0.6 ,0.102062, 0.0136001,0.884338,0.897938
0.03,0.61 ,0.0975749, 0.0141086,0.888316,0.902425
0.03,0.62 ,0.0933782, 0.014621,0.892001,0.906622
0.03,0.63 ,0.0894529, 0.0151367,0.89541,0.910547
0.03,0.64 ,0.0857814, 0.0156551,0.898564,0.914219
0.03,0.65 ,0.0823472, 0.0161757,0.901477,0.917653
0.03,0.66 ,0.0791353, 0.016698,0.904167,0.920865
0.03,0.67 ,0.0761313, 0.0172216,0.906647,0.923869
0.03,0.68 ,0.0733222, 0.0177461,0.908932,0.926678
0.03,0.69 ,0.0706956, 0.018271,0.911033,0.929304
0.03,0.7 ,0.0682403, 0.0187961,0.912964,0.93176
0.03,0.71 ,0.0659455, 0.019321,0.914733,0.934055
0.03,0.72 ,0.0638014, 0.0198454,0.916353,0.936199
0.03,0.73 ,0.0617986, 0.020369,0.917832,0.938201
0.03,0.74 ,0.0599286, 0.0208916,0.91918,0.940071
0.03,0.75 ,0.0581832, 0.0214128,0.920404,0.941817
0.03,0.76 ,0.056555, 0.0219325,0.921513,0.943445
0.03,0.77 ,0.0550367, 0.0224505,0.922513,0.944963
0.03,0.78 ,0.0536218, 0.0229665,0.923412,0.946378
