i,S,V,Ip (Cv=0.50),Im (Cv=0.50),R,x,I (Cv=0.50)
48,7.85E-36,0.288348,4.63E-05,0.0283883,0.683218,0.995377,0.0284346
49,3.54E-38,0.28518,3.66E-05,0.0255622,0.689221,0.996261,0.0255988
50,1.30E-40,0.282359,2.89E-05,0.0229861,0.694626,0.996975,0.023015
51,3.85E-43,0.279848,2.28E-05,0.0206445,0.699484,0.99755,0.0206673
52,9.29E-46,0.277614,1.80E-05,0.0185215,0.703847,0.998016,0.0185394
53,1.82E-48,0.275625,1.42E-05,0.0166008,0.70776,0.998392,0.0166149
54,2.88E-51,0.273855,1.11E-05,0.0148665,0.711267,0.998696,0.0148776
55,3.71E-54,0.272281,8.76E-06,0.0133032,0.714407,0.998942,0.0133119
56,3.89E-57,0.27088,6.89E-06,0.0118962,0.717217,0.999141,0.0119031
57,3.31E-60,0.269634,5.41E-06,0.0106316,0.719729,0.999303,0.010637
58,2.29E-63,0.268526,4.25E-06,0.00949626,0.721974,0.999434,0.00950051
59,1.28E-66,0.26754,3.34E-06,0.00847812,0.723979,0.99954,0.00848145
60,5.87E-70,0.266663,2.62E-06,0.00756591,0.725769,0.999626,0.00756853
61,2.18E-73,0.265883,2.05E-06,0.00674928,0.727366,0.999696,0.00675134
62,6.60E-77,0.265189,1.61E-06,0.00601877,0.72879,0.999753,0.00602038
63,1.62E-80,0.264572,1.26E-06,0.0053657,0.730061,0.999799,0.00536697
64,3.25E-84,0.264023,9.90E-07,0.00478222,0.731193,0.999836,0.00478321
65,5.29E-88,0.263535,7.76E-07,0.00426117,0.732203,0.999867,0.00426195
66,7.02E-92,0.263101,6.08E-07,0.00379609,0.733102,0.999892,0.0037967
67,7.58E-96,0.262715,4.76E-07,0.00338114,0.733903,0.999912,0.00338161
68,6.66E-100,0.262372,3.73E-07,0.00301104,0.734617,0.999928,0.00301141
69,4.77E-104,0.262066,2.92E-07,0.00268105,0.735252,0.999942,0.00268134
70,2.78E-108,0.261795,2.29E-07,0.00238691,0.735818,0.999952,0.00238713
71,1.32E-112,0.261553,1.79E-07,0.00212478,0.736322,0.999961,0.00212496
72,5.10E-117,0.261338,1.40E-07,0.00189125,0.73677,0.999968,0.00189139
73,1.61E-121,0.261147,1.10E-07,0.00168323,0.737169,0.999974,0.00168334
74,4.12E-126,0.260978,8.59E-08,0.00149796,0.737524,0.999979,0.00149805
75,8.61E-131,0.260826,6.73E-08,0.00133299,0.737841,0.999983,0.00133305
76,1.46E-135,0.260692,5.26E-08,0.0011861,0.738122,0.999986,0.00118616
77,2.03E-140,0.260573,4.12E-08,0.00105534,0.738372,0.999989,0.00105539
78,2.29E-145,0.260466,3.23E-08,0.000938952,0.738595,0.999991,0.000938984
79,2.11E-150,0.260372,2.52E-08,0.000835358,0.738793,0.999992,0.000835383
80,1.58E-155,0.260288,1.98E-08,0.000743162,0.738969,0.999994,0.000743182
81,9.66E-161,0.260213,1.55E-08,0.000661118,0.739126,0.999995,0.000661134
82,4.81E-166,0.260146,1.21E-08,0.000588112,0.739265,0.999996,0.000588124
83,1.95E-171,0.260087,9.47E-09,0.000523153,0.73939,0.999997,0.000523163
84,6.44E-177,0.260035,7.41E-09,0.000465357,0.7395,0.999997,0.000465365
85,1.73E-182,0.259988,5.80E-09,0.000413937,0.739598,0.999998,0.000413943
86,3.80E-188,0.259946,4.54E-09,0.000368191,0.739685,0.999998,0.000368195
87,6.79E-194,0.259909,3.55E-09,0.000327494,0.739763,0.999999,0.000327498
88,9.89E-200,0.259876,2.78E-09,0.000291292,0.739832,0.999999,0.000291294
89,1.17E-205,0.259847,2.17E-09,0.000259087,0.739894,0.999999,0.000259089
90,1.13E-211,0.259821,1.70E-09,0.00023044,0.739948,0.999999,0.000230442
91,8.94E-218,0.259798,1.33E-09,0.000204958,0.739997,0.999999,0.000204959
92,5.74E-224,0.259777,1.04E-09,0.000182292,0.74004,0.999999,0.000182293
93,3.00E-230,0.259759,8.15E-10,0.000162131,0.740079,1,0.000162132
94,1.28E-236,0.259743,6.37E-10,0.000144199,0.740113,1,0.0001442
95,4.45E-243,0.259728,4.99E-10,0.000128249,0.740143,1,0.00012825
96,1.26E-249,0.259716,3.90E-10,0.000114063,0.74017,1,0.000114063
97,2.90E-256,0.259704,3.05E-10,0.000101445,0.740195,1,0.000101446
98,5.46E-263,0.259694,2.39E-10,9.02E-05,0.740216,1,9.02E-05
99,8.36E-270,0.259685,1.87E-10,8.02E-05,0.740235,1,8.02E-05
100,1.04E-276,0.259677,1.46E-10,7.14E-05,0.740252,1,7.14E-05
