i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
60,1.08E-122,0.267635,2.78E-06,0.00982964,0.722532,1,0.00983243
61,5.10E-129,0.266618,2.18E-06,0.00877238,0.724607,1,0.00877456
62,1.61E-135,0.265714,1.71E-06,0.00782538,0.726459,1,0.00782709
63,3.38E-142,0.26491,1.34E-06,0.00697788,0.728111,1,0.00697922
64,4.73E-149,0.264196,1.05E-06,0.00622,0.729583,1,0.00622105
65,4.41E-156,0.26356,8.25E-07,0.00554271,0.730896,1,0.00554354
66,2.74E-163,0.262996,6.47E-07,0.00493781,0.732066,1,0.00493846
67,1.13E-170,0.262494,5.07E-07,0.00439785,0.733108,1,0.00439836
68,3.12E-178,0.262048,3.97E-07,0.00391609,0.734036,1,0.00391648
69,5.74E-186,0.261651,3.11E-07,0.00348642,0.734862,1,0.00348673
70,7.02E-194,0.261298,2.43E-07,0.00310336,0.735598,1,0.0031036
71,5.72E-202,0.260985,1.90E-07,0.00276196,0.736253,1,0.00276215
72,3.10E-210,0.260706,1.49E-07,0.00245779,0.736836,1,0.00245794
73,1.12E-218,0.260459,1.17E-07,0.00218685,0.737354,1,0.00218697
74,2.71E-227,0.260238,9.13E-08,0.00194557,0.737816,1,0.00194566
75,4.34E-236,0.260043,7.15E-08,0.00173074,0.738226,1,0.00173082
76,4.65E-245,0.259869,5.59E-08,0.00153951,0.738592,1,0.00153956
77,3.31E-254,0.259714,4.38E-08,0.0013693,0.738916,1,0.00136934
78,1.57E-263,0.259577,3.42E-08,0.00121783,0.739205,1,0.00121786
79,4.97E-273,0.259455,2.68E-08,0.00108305,0.739462,1,0.00108307
80,1.05E-282,0.259346,2.10E-08,0.00096313,0.739691,1,0.000963151
81,1.47E-292,0.259249,1.64E-08,0.000856451,0.739894,1,0.000856467
82,1.38E-302,0.259164,1.28E-08,0.000761556,0.740075,1,0.000761569
83,8.58845e-313,0.259087,1.00E-08,0.00067715,0.740236,1,0.00067716
84,3.45846e-323,0.259019,7.85E-09,0.000602079,0.740378,1,0.000602087
85,0,0.258959,6.14E-09,0.000535315,0.740505,1,0.000535322
86,0,0.258906,4.80E-09,0.000475942,0.740618,1,0.000475947
87,0,0.258858,3.76E-09,0.000423145,0.740719,1,0.000423148
88,0,0.258816,2.94E-09,0.000376196,0.740808,1,0.000376199
89,0,0.258778,2.30E-09,0.000334451,0.740888,1,0.000334453
90,0,0.258745,1.80E-09,0.000297332,0.740958,1,0.000297334
91,0,0.258715,1.41E-09,0.00026433,0.741021,1,0.000264331
92,0,0.258688,1.10E-09,0.000234988,0.741077,1,0.000234989
93,0,0.258665,8.60E-10,0.0002089,0.741126,1,0.000208901
94,0,0.258644,6.73E-10,0.000185707,0.74117,1,0.000185707
95,0,0.258625,5.26E-10,0.000165087,0.741209,1,0.000165087
96,0,0.258609,4.11E-10,0.000146755,0.741244,1,0.000146756
97,0,0.258594,3.22E-10,0.000130459,0.741275,1,0.000130459
98,0,0.258581,2.52E-10,0.000115971,0.741303,1,0.000115971
99,0,0.25857,1.97E-10,0.000103091,0.741327,1,0.000103091
100,0,0.258559,1.54E-10,9.16E-05,0.741349,1,9.16E-05
