i,S,V,Ip (Cv=0.50),Im (Cv=0.50),R,x,I (Cv=0.50)
34,7.95E-51,0.448417,0.000899199,0.107085,0.443599,0.99993,0.107984
35,5.08E-55,0.42974,0.000753021,0.103049,0.466457,0.999957,0.103802
36,1.99E-59,0.41253,0.000626507,0.0984217,0.488422,0.999974,0.0990482
37,4.71E-64,0.396762,0.000518104,0.0933474,0.509372,0.999984,0.0938655
38,6.79E-69,0.382388,0.000426077,0.0879658,0.529221,0.999991,0.0883918
39,5.91E-74,0.369339,0.00034861,0.0824057,0.547906,0.999994,0.0827543
40,3.11E-79,0.357538,0.000283901,0.0767815,0.565396,0.999997,0.0770654
41,9.89E-85,0.346899,0.000230227,0.0711909,0.58168,0.999998,0.0714211
42,1.90E-90,0.33733,0.000185986,0.0657146,0.596769,0.999999,0.0659006
43,2.20E-96,0.328744,0.000149728,0.0604166,0.61069,0.999999,0.0605663
44,1.54E-102,0.321053,0.000120163,0.0553452,0.623481,1,0.0554654
45,6.52E-109,0.314174,9.62E-05,0.050535,0.635194,1,0.0506312
46,1.67E-115,0.308029,7.68E-05,0.0460085,0.645885,1,0.0460853
47,2.59E-122,0.302545,6.11E-05,0.0417782,0.655616,1,0.0418393
48,2.43E-129,0.297654,4.86E-05,0.0378482,0.664449,1,0.0378969
49,1.39E-136,0.293296,3.86E-05,0.0342165,0.672449,1,0.034255
50,4.80E-144,0.289414,3.06E-05,0.0308755,0.67968,1,0.0309061
51,1.01E-151,0.285958,2.42E-05,0.0278145,0.686204,1,0.0278386
52,1.29E-159,0.282881,1.91E-05,0.0250197,0.69208,1,0.0250388
53,1.01E-167,0.280144,1.51E-05,0.0224761,0.697365,1,0.0224912
54,4.79E-176,0.277709,1.19E-05,0.0201672,0.702111,1,0.0201791
55,1.39E-184,0.275544,9.36E-06,0.0180766,0.70637,1,0.018086
56,2.46E-193,0.273618,7.37E-06,0.0161876,0.710187,1,0.0161949
57,2.66E-202,0.271905,5.79E-06,0.0144839,0.713605,1,0.0144897
58,1.75E-211,0.270383,4.55E-06,0.0129499,0.716663,1,0.0129545
59,7.08E-221,0.269029,3.58E-06,0.0115708,0.719396,1,0.0115744
60,1.75E-230,0.267826,2.81E-06,0.0103325,0.721839,1,0.0103353
61,2.65E-240,0.266756,2.20E-06,0.00922188,0.72402,1,0.00922408
62,2.45E-250,0.265805,1.73E-06,0.00822685,0.725966,1,0.00822858
63,1.39E-260,0.26496,1.36E-06,0.00733616,0.727703,1,0.00733752
64,4.83E-271,0.264208,1.06E-06,0.0065395,0.729251,1,0.00654057
65,1.03E-281,0.263541,8.33E-07,0.00582746,0.730631,1,0.00582829
66,1.34E-292,0.262947,6.53E-07,0.00519144,0.731861,1,0.00519209
67,1.08E-303,0.262419,5.11E-07,0.00462365,0.732957,1,0.00462416
68,5.29155e-315,0.26195,4.00E-07,0.00411701,0.733932,1,0.00411741
69,0,0.261533,3.14E-07,0.00366514,0.734801,1,0.00366546
70,0,0.261163,2.45E-07,0.00326228,0.735575,1,0.00326253
71,0,0.260834,1.92E-07,0.00290323,0.736263,1,0.00290343
72,0,0.260541,1.50E-07,0.00258333,0.736876,1,0.00258348
73,0,0.260281,1.18E-07,0.00229839,0.737421,1,0.00229851
74,0,0.26005,9.21E-08,0.00204464,0.737906,1,0.00204473
75,0,0.259844,7.21E-08,0.00181873,0.738337,1,0.0018188
76,0,0.259661,5.64E-08,0.00161763,0.738721,1,0.00161769
77,0,0.259499,4.41E-08,0.00143865,0.739062,1,0.0014387
78,0,0.259355,3.45E-08,0.00127939,0.739366,1,0.00127943
79,0,0.259226,2.70E-08,0.00113769,0.739636,1,0.00113771
80,0,0.259112,2.11E-08,0.00101162,0.739876,1,0.00101164
81,0,0.259011,1.65E-08,0.000899479,0.740089,1,0.000899496
82,0,0.258921,1.29E-08,0.000799734,0.740279,1,0.000799747
83,0,0.258841,1.01E-08,0.000711022,0.740448,1,0.000711032
84,0,0.25877,7.91E-09,0.000632128,0.740598,1,0.000632136
85,0,0.258707,6.19E-09,0.000561971,0.740731,1,0.000561977
86,0,0.258651,4.84E-09,0.000499587,0.74085,1,0.000499592
87,0,0.258601,3.79E-09,0.000444117,0.740955,1,0.000444121
88,0,0.258556,2.96E-09,0.000394797,0.741049,1,0.0003948
89,0,0.258517,2.32E-09,0.000350948,0.741132,1,0.00035095
90,0,0.258482,1.81E-09,0.000311964,0.741206,1,0.000311965
91,0,0.258451,1.42E-09,0.000277305,0.741272,1,0.000277307
92,0,0.258423,1.11E-09,0.000246494,0.741331,1,0.000246495
93,0,0.258398,8.66E-10,0.000219104,0.741383,1,0.000219105
94,0,0.258376,6.77E-10,0.000194755,0.741429,1,0.000194756
95,0,0.258357,5.30E-10,0.000173111,0.74147,1,0.000173111
96,0,0.25834,4.14E-10,0.00015387,0.741507,1,0.000153871
97,0,0.258324,3.24E-10,0.000136767,0.741539,1,0.000136768
98,0,0.258311,2.53E-10,0.000121564,0.741568,1,0.000121565
99,0,0.258298,1.98E-10,0.000108051,0.741594,1,0.000108051
100,0,0.258288,1.55E-10,9.60E-05,0.741616,1,9.60E-05
