i,S,V,Ip,Im,Rs,Rv,P,I (A=0.10),I (A=0.50),I (A=0.90),,,I (A = 0.10),I (A = 0.50),I (A = 0.90),,,,,,,Ip(e1 = 0.10),Ip(e1 = 0.50),Ip(e1 = 0.90),,Im(e1 = 0.10),Im(e1 = 0.50),Im(e1 = 0.90)
55,8.54E-05,0.0431032,1.57E-06,0.000161097,0.275555,0.681094,0.956649,0.00363141,0.0133119,0.018086,,,0.00216634,0.00992925,0.0172211,,,,,,,3.98E-05,0.0264339,1.08E-08,,6.36E-08,6.98E-07,1.61E-06
56,7.69E-05,0.0431069,1.16E-06,0.000131946,0.275557,0.681127,0.956683,0.00316668,0.0119031,0.0161949,,,0.00186181,0.00883159,0.0154167,,,,,,,3.06E-05,0.0245227,8.49E-09,,5.06E-08,5.79E-07,1.39E-06
57,6.92E-05,0.0431106,8.57E-07,0.00010807,0.275558,0.681153,0.956711,0.00276106,0.010637,0.0144897,,,0.00159994,0.00785196,0.0137905,,,,,,,2.35E-05,0.0226901,6.70E-09,,4.02E-08,4.81E-07,1.21E-06
58,6.22E-05,0.0431142,6.33E-07,8.85E-05,0.27556,0.681175,0.956734,0.00240712,0.00950051,0.0129545,,,0.0013748,0.00697838,0.0123272,,,,,,,1.80E-05,0.0209437,5.29E-09,,3.20E-08,3.98E-07,1.04E-06
59,5.60E-05,0.0431178,4.68E-07,7.25E-05,0.275561,0.681193,0.956753,0.00209834,0.00848145,0.0115744,,,0.00118125,0.00619993,0.0110124,,,,,,,1.38E-05,0.0192889,4.17E-09,,2.54E-08,3.30E-07,9.03E-07
60,5.04E-05,0.0431212,3.46E-07,5.94E-05,0.275561,0.681207,0.956769,0.00182901,0.00756853,0.0103353,,,0.00101488,0.0055067,0.00983243,,,,,,,1.06E-05,0.0177289,3.29E-09,,2.02E-08,2.74E-07,7.82E-07
61,4.54E-05,0.0431244,2.56E-07,4.86E-05,0.275562,0.681219,0.956781,0.00159413,0.00675134,0.00922408,,,0.000871893,0.0048897,0.00877456,,,,,,,8.15E-06,0.0162647,2.60E-09,,1.61E-08,2.27E-07,6.77E-07
62,4.08E-05,0.0431275,1.89E-07,3.98E-05,0.275563,0.681229,0.956792,0.00138931,0.00602038,0.00822858,,,0.000749011,0.00434084,0.00782709,,,,,,,6.26E-06,0.0148962,2.05E-09,,1.28E-08,1.88E-07,5.86E-07
63,3.67E-05,0.0431304,1.40E-07,3.26E-05,0.275563,0.681237,0.9568,0.00121074,0.00536697,0.00733752,,,0.000643415,0.00385279,0.00697922,,,,,,,4.81E-06,0.0136217,1.62E-09,,1.02E-08,1.55E-07,5.07E-07
64,3.31E-05,0.0431331,1.03E-07,2.67E-05,0.275563,0.681244,0.956807,0.00105506,0.00478321,0.00654057,,,0.00055268,0.00341899,0.00622105,,,,,,,3.69E-06,0.0124387,1.28E-09,,8.09E-09,1.28E-07,4.39E-07
