i,S,V,Ip (Cv=0.10),Im (Cv=0.10),R,x,I (Cv=0.10)
63,0,0.264891,1.36E-06,0.00758022,0.727528,1,0.00758158
64,0,0.264114,1.07E-06,0.00675686,0.729128,1,0.00675793
65,0,0.263425,8.37E-07,0.0060209,0.730554,1,0.00602174
66,0,0.262812,6.56E-07,0.0053635,0.731824,1,0.00536416
67,0,0.262267,5.14E-07,0.00477661,0.732956,1,0.00477712
68,0,0.261782,4.02E-07,0.00425293,0.733964,1,0.00425333
69,0,0.261352,3.15E-07,0.00378587,0.734862,1,0.00378618
70,0,0.26097,2.47E-07,0.00336947,0.735661,1,0.00336972
71,0,0.26063,1.93E-07,0.00299837,0.736372,1,0.00299857
72,0,0.260328,1.51E-07,0.00266775,0.737004,1,0.0026679
73,0,0.260059,1.18E-07,0.00237328,0.737567,1,0.0023734
74,0,0.259821,9.26E-08,0.00211106,0.738068,1,0.00211115
75,0,0.259609,7.24E-08,0.00187762,0.738514,1,0.00187769
76,0,0.25942,5.67E-08,0.00166984,0.73891,1,0.0016699
77,0,0.259253,4.43E-08,0.00148493,0.739262,1,0.00148498
78,0,0.259104,3.47E-08,0.0013204,0.739575,1,0.00132044
79,0,0.258972,2.71E-08,0.00117403,0.739854,1,0.00117406
80,0,0.258854,2.12E-08,0.00104382,0.740102,1,0.00104384
81,0,0.25875,1.66E-08,0.000928006,0.740322,1,0.000928023
82,0,0.258657,1.30E-08,0.000825004,0.740518,1,0.000825017
83,0,0.258575,1.02E-08,0.000733404,0.740692,1,0.000733414
84,0,0.258501,7.94E-09,0.000651952,0.740847,1,0.00065196
85,0,0.258436,6.21E-09,0.000579527,0.740984,1,0.000579533
86,0,0.258378,4.86E-09,0.000515133,0.741107,1,0.000515138
87,0,0.258327,3.80E-09,0.000457883,0.741215,1,0.000457887
88,0,0.258281,2.97E-09,0.000406986,0.741312,1,0.000406989
89,0,0.258241,2.32E-09,0.00036174,0.741398,1,0.000361742
90,0,0.258204,1.82E-09,0.000321518,0.741474,1,0.00032152
91,0,0.258172,1.42E-09,0.000285764,0.741542,1,0.000285765
92,0,0.258144,1.11E-09,0.000253982,0.741602,1,0.000253983
93,0,0.258118,8.68E-10,0.000225732,0.741656,1,0.000225733
94,0,0.258096,6.79E-10,0.000200623,0.741703,1,0.000200623
95,0,0.258076,5.31E-10,0.000178304,0.741746,1,0.000178305
96,0,0.258058,4.15E-10,0.000158467,0.741783,1,0.000158468
97,0,0.258042,3.25E-10,0.000140836,0.741817,1,0.000140836
98,0,0.258028,2.54E-10,0.000125166,0.741847,1,0.000125166
99,0,0.258016,1.98E-10,0.000111238,0.741873,1,0.000111238
100,0,0.258005,1.55E-10,9.89E-05,0.741896,1,9.89E-05
