i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
49,1.05E-08,0.269462,3.41E-05,0.0197716,0.710732,0.7318,0.0198056
50,2.77E-09,0.2674,2.68E-05,0.0176589,0.714914,0.759011,0.0176857
51,6.59E-10,0.265573,2.10E-05,0.0157579,0.718648,0.784347,0.0157789
52,1.40E-10,0.263954,1.65E-05,0.0140505,0.721979,0.807754,0.0140669
53,2.67E-11,0.262519,1.29E-05,0.0125192,0.724949,0.829223,0.0125321
54,4.51E-12,0.261248,1.01E-05,0.0111479,0.727594,0.848784,0.011158
55,6.76E-13,0.260122,7.91E-06,0.00992134,0.729949,0.866499,0.00992925
56,8.95E-14,0.259124,6.19E-06,0.0088254,0.732045,0.882452,0.00883159
57,1.04E-14,0.258239,4.84E-06,0.00784711,0.733909,0.896747,0.00785196
58,1.07E-15,0.257456,3.79E-06,0.00697459,0.735566,0.909499,0.00697838
59,9.65E-17,0.256761,2.96E-06,0.00619697,0.737039,0.920827,0.00619993
60,7.60E-18,0.256146,2.31E-06,0.00550438,0.738347,0.930856,0.0055067
61,5.23E-19,0.255601,1.81E-06,0.0048879,0.739509,0.939705,0.0048897
62,3.14E-20,0.255118,1.41E-06,0.00433942,0.740541,0.947491,0.00434084
63,1.64E-21,0.25469,1.10E-06,0.00385169,0.741457,0.954326,0.00385279
64,7.49E-23,0.254311,8.61E-07,0.00341813,0.74227,0.960311,0.00341899
65,2.96E-24,0.253975,6.73E-07,0.00303288,0.742992,0.965543,0.00303355
66,1.02E-25,0.253677,5.25E-07,0.00269065,0.743632,0.970108,0.00269118
67,3.04E-27,0.253413,4.10E-07,0.00238673,0.7442,0.974087,0.00238714
68,7.86E-29,0.253179,3.20E-07,0.0021169,0.744703,0.977549,0.00211722
69,1.76E-30,0.252972,2.50E-07,0.00187738,0.74515,0.980558,0.00187763
70,3.42E-32,0.252789,1.95E-07,0.00166481,0.745546,0.983172,0.00166501
71,5.75E-34,0.252626,1.52E-07,0.00147619,0.745898,0.98544,0.00147635
72,8.36E-36,0.252482,1.19E-07,0.00130885,0.746209,0.987406,0.00130897
73,1.05E-37,0.252354,9.26E-08,0.00116041,0.746485,0.98911,0.0011605
74,1.14E-39,0.252241,7.23E-08,0.00102874,0.74673,0.990586,0.00102881
75,1.08E-41,0.252141,5.64E-08,0.00091197,0.746947,0.991864,0.000912027
76,8.75E-44,0.252052,4.40E-08,0.000808418,0.74714,0.992969,0.000808462
77,6.15E-46,0.251973,3.43E-08,0.000716596,0.74731,0.993926,0.000716631
78,3.73E-48,0.251903,2.68E-08,0.000635182,0.747462,0.994753,0.000635209
79,1.96E-50,0.251841,2.09E-08,0.000563,0.747596,0.995468,0.000563021
80,8.86E-53,0.251787,1.63E-08,0.000499008,0.747714,0.996085,0.000499024
81,3.47E-55,0.251738,1.27E-08,0.000442279,0.74782,0.996619,0.000442291
82,1.17E-57,0.251695,9.92E-09,0.00039199,0.747913,0.997081,0.000392
83,3.42E-60,0.251657,7.74E-09,0.000347413,0.747996,0.997479,0.000347421
84,8.62E-63,0.251623,6.04E-09,0.0003079,0.748069,0.997824,0.000307906
85,1.88E-65,0.251593,4.71E-09,0.000272877,0.748134,0.998121,0.000272882
86,3.52E-68,0.251567,3.67E-09,0.000241835,0.748192,0.998378,0.000241839
87,5.71E-71,0.251543,2.87E-09,0.000214321,0.748243,0.9986,0.000214324
88,8.00E-74,0.251522,2.23E-09,0.000189936,0.748288,0.998791,0.000189938
89,9.67E-77,0.251504,1.74E-09,0.000168324,0.748328,0.998956,0.000168326
90,1.01E-79,0.251487,1.36E-09,0.00014917,0.748363,0.999099,0.000149171
91,9.09E-83,0.251473,1.06E-09,0.000132194,0.748395,0.999222,0.000132195
92,7.07E-86,0.25146,8.27E-10,0.00011715,0.748423,0.999329,0.000117151
93,4.75E-89,0.251449,6.45E-10,0.000103817,0.748448,0.999421,0.000103818
94,2.75E-92,0.251439,5.03E-10,9.20E-05,0.748469,0.9995,9.20E-05
95,1.38E-95,0.25143,3.93E-10,8.15E-05,0.748489,0.999568,8.15E-05
96,5.94E-99,0.251422,3.06E-10,7.22E-05,0.748506,0.999627,7.22E-05
97,2.21E-102,0.251415,2.39E-10,6.40E-05,0.748521,0.999678,6.40E-05
98,7.12E-106,0.251408,1.86E-10,5.67E-05,0.748535,0.999722,5.67E-05
99,1.98E-109,0.251403,1.45E-10,5.03E-05,0.748547,0.99976,5.03E-05
100,4.73E-113,0.251398,1.13E-10,4.46E-05,0.748557,0.999793,4.46E-05
