i,S,V,Ip (e1 = e2 = 0.90),Im (e1 = e2 = 0.90),R,x,I(e1 = e2 = 0.90)
71,2.23E-180,0.956284,1.58E-09,9.10E-07,0.043715,0.999999,9.12E-07
72,2.63E-186,0.956284,1.24E-09,7.85E-07,0.0437152,0.999999,7.87E-07
73,2.47E-192,0.956284,9.75E-10,6.78E-07,0.0437153,0.999999,6.79E-07
74,1.85E-198,0.956284,7.67E-10,5.85E-07,0.0437155,0.999999,5.86E-07
75,1.11E-204,0.956284,6.03E-10,5.05E-07,0.0437156,1,5.05E-07
76,5.31E-211,0.956284,4.74E-10,4.35E-07,0.0437157,1,4.36E-07
77,2.02E-217,0.956284,3.73E-10,3.76E-07,0.0437158,1,3.76E-07
78,6.15E-224,0.956284,2.93E-10,3.24E-07,0.0437159,1,3.25E-07
79,1.49E-230,0.956284,2.31E-10,2.80E-07,0.043716,1,2.80E-07
80,2.89E-237,0.956284,1.81E-10,2.41E-07,0.043716,1,2.42E-07
